alpha,first_crossing_bound,excess,quadrature_error_estimate,jump_z,tangency_c,function_evaluations
0.001,0.001028146505581,+0.000028146505581,3.436e-11,-0.568192982400976,4.664749398158800,420
0.002,0.002148554681849,+0.000148554681849,3.694e-11,-0.720762308040561,4.501137372703714,420
0.003,0.003284435006018,+0.000284435006018,8.862e-12,-0.812570455109027,4.402643059510424,420
0.004,0.004426899247752,+0.000426899247752,1.764e-11,-0.878975549498836,4.331384276505362,378
0.005,0.005572286769565,+0.000572286769565,1.670e-11,-0.931265854531388,4.275262888833185,420
0.006,0.006718680335022,+0.000718680335022,2.137e-11,-0.974533100960468,4.228820644254999,420
0.007,0.007864947037281,+0.000864947037281,2.623e-11,-1.011519981422102,4.189116912285908,420
0.008,0.009010367221763,+0.001010367221763,3.112e-11,-1.043876839415855,4.154382010691388,420
0.009,0.010154461792172,+0.001154461792172,3.607e-11,-1.072675504410604,4.123466451034687,420
0.010,0.011296901680650,+0.001296901680650,4.103e-11,-1.098652215546216,4.095580571716205,420
0.011,0.012437456235313,+0.001437456235313,4.601e-11,-1.122334911542799,4.070158066648244,420
0.012,0.013575961894495,+0.001575961894495,5.101e-11,-1.144115282529626,4.046778748490341,420
0.013,0.014712302228029,+0.001712302228029,5.605e-11,-1.164292088808633,4.025122090387035,420
0.014,0.015846394718368,+0.001846394718368,6.115e-11,-1.183098498549203,4.004937926093440,420
0.015,0.016978181724260,+0.001978181724260,6.632e-11,-1.200720042242288,3.986027174795379,420
0.016,0.018107624139212,+0.002107624139212,1.342e-10,-1.217306805431672,3.968228791419260,378
0.017,0.019234696841665,+0.002234696841665,1.760e-10,-1.232981947566083,3.951410603901018,378
0.018,0.020359385368665,+0.002359385368665,1.027e-10,-1.247847801606391,3.935462787403548,378
0.019,0.021481683444452,+0.002481683444452,1.172e-10,-1.261990335602974,3.920293073326173,378
0.020,0.022601591118462,+0.002601591118462,7.528e-11,-1.275482477899921,3.905823201349047,420
0.021,0.023719113345360,+0.002719113345360,9.014e-11,-1.288386636916767,3.891986174181577,420
0.022,0.024834258891466,+0.002834258891466,1.443e-10,-1.300756639109041,3.878724217395486,462
0.023,0.025947039479985,+0.002947039479985,9.027e-11,-1.312639239420456,3.865987139706532,378
0.024,0.027057469130977,+0.003057469130977,7.884e-11,-1.324075312766544,3.853731073546591,420
0.025,0.028165563627283,+0.003165563627283,1.773e-10,-1.335100804213858,3.841917414132248,378
0.026,0.029271340099776,+0.003271340099776,9.231e-11,-1.345747494296090,3.830512066878494,420
0.027,0.030374816692707,+0.003374816692707,9.729e-11,-1.356043621069581,3.819484698794930,420
0.028,0.031476012296006,+0.003476012296006,4.223e-11,-1.366014389971915,3.808808255165522,462
0.029,0.032574946329971,+0.003574946329971,4.499e-11,-1.375682394955616,3.798458487091950,462
0.030,0.033671638571685,+0.003671638571685,1.360e-10,-1.385067968827314,3.788413562024680,420
0.031,0.034766109014745,+0.003766109014745,9.448e-11,-1.394189476629084,3.778653747958687,420
0.032,0.035858377755875,+0.003858377755875,7.291e-11,-1.403063562839737,3.769161201597910,420
0.033,0.036948464903236,+0.003948464903236,6.604e-11,-1.411705360865179,3.759919671305314,420
0.034,0.038036390502379,+0.004036390502379,6.552e-11,-1.420128671526524,3.750914331009815,420
0.035,0.039122174476560,+0.004122174476560,6.510e-11,-1.428346115901384,3.742131641655176,420
0.036,0.040205836578822,+0.004205836578822,6.303e-11,-1.436369266823171,3.733559172129566,420
0.037,0.041287396353724,+0.004287396353724,6.639e-11,-1.444208762522602,3.725185508618221,420
0.038,0.042366873106995,+0.004366873106995,7.759e-11,-1.451874405248960,3.717000130865260,420
0.039,0.043444285881744,+0.004444285881744,8.754e-11,-1.459375247195290,3.708993316435907,420
0.040,0.044519653440058,+0.004519653440058,9.055e-11,-1.466719665642866,3.701156083222907,420
0.041,0.045592994249074,+0.004592994249074,8.678e-11,-1.473915428910422,3.693480091923438,420
0.042,0.046664326470742,+0.004664326470742,8.437e-11,-1.480969754428330,3.685957596177386,420
0.043,0.047733667954651,+0.004733667954651,9.843e-11,-1.487889360041659,3.678581399460051,420
0.044,0.048801036233387,+0.004801036233387,1.152e-10,-1.494680509469112,3.671344766313174,420
0.045,0.049866448519981,+0.004866448519981,9.093e-11,-1.501349052700232,3.664241428917796,462
0.046,0.050929921707092,+0.004929921707092,9.169e-11,-1.507900461993785,3.657265518932549,462
0.047,0.051991472367618,+0.004991472367618,8.670e-11,-1.514339864040427,3.650411535641235,462
0.048,0.053051116756476,+0.005051116756476,8.503e-11,-1.520672068770730,3.643674331510533,462
0.049,0.054108870813344,+0.005108870813344,1.014e-10,-1.526901595220942,3.637049056355292,462
0.050,0.055164750166183,+0.005164750166183,1.952e-11,-1.533032694809933,3.630531143616053,504
0.051,0.056218770135395,+0.005218770135395,2.524e-11,-1.539069372332907,3.624116310797402,504
0.052,0.057270945738488,+0.005270945738488,2.279e-11,-1.545015404936321,3.617800512187130,504
0.053,0.058321291695137,+0.005321291695137,1.415e-11,-1.550874359302297,3.611579933189772,504
0.054,0.059369822432571,+0.005369822432571,4.335e-12,-1.556649607242319,3.605450955731529,504
0.055,0.060416552091187,+0.005416552091187,7.170e-13,-1.562344339874333,3.599410159948579,504
0.056,0.061461494530346,+0.005461494530346,7.252e-12,-1.567961580534418,3.593454318269130,504
0.057,0.062504663334296,+0.005504663334296,1.366e-11,-1.573504196557373,3.587580361312875,504
0.058,0.063546071818175,+0.005546071818175,1.639e-11,-1.578974910042438,3.581785378984581,504
0.059,0.064585733034056,+0.005585733034056,1.471e-11,-1.584376307708700,3.576066599458071,504
0.060,0.065623659777007,+0.005623659777007,9.922e-12,-1.589710849929834,3.570421401751769,504
0.061,0.066659864591146,+0.005659864591146,4.389e-12,-1.594980879030397,3.564847283319594,504
0.062,0.067694359775659,+0.005694359775659,4.816e-13,-1.600188626913722,3.559341853452244,504
0.063,0.068727157390765,+0.005727157390765,1.424e-12,-1.605336222086983,3.553902838021414,504
0.064,0.069758269263630,+0.005758269263630,4.260e-12,-1.610425696138073,3.548528081391840,504
0.065,0.070787706994198,+0.005787706994198,6.228e-12,-1.615458989715848,3.543215517256969,504
0.066,0.071815481960944,+0.005815481960944,6.648e-12,-1.620437958059570,3.537963154932903,504
0.067,0.072841605326532,+0.005841605326532,5.657e-12,-1.625364376116276,3.532769110474582,504
0.068,0.073866088043387,+0.005866088043387,3.853e-12,-1.630239943284002,3.527631579117938,504
0.069,0.074888940859159,+0.005888940859159,1.028e-10,-1.635066287812154,3.522548819568067,462
0.070,0.075910174322091,+0.005910174322091,8.381e-11,-1.639844970890093,3.517519184542647,462
0.071,0.076929798786282,+0.005929798786282,1.115e-10,-1.644577490448156,3.512541072521096,420
0.072,0.077947824416854,+0.005947824416854,1.019e-10,-1.649265284696651,3.507612960909858,420
0.073,0.078964261194992,+0.005964261194992,9.432e-11,-1.653909735424279,3.502733390908163,420
0.074,0.079979118922910,+0.005979118922910,8.806e-11,-1.658512171073772,3.497900937746481,420
0.075,0.080992407228676,+0.005992407228676,1.222e-10,-1.663073869616039,3.493114263240438,378
0.076,0.082004135571035,+0.006004135571035,1.119e-10,-1.667596061234535,3.488372070524776,378
0.077,0.083014313243947,+0.006014313243947,1.016e-10,-1.672079930838281,3.483673091300593,378
0.078,0.084022949381217,+0.006022949381217,9.122e-11,-1.676526620413506,3.479016136026319,378
0.079,0.085030052960928,+0.006030052960928,8.076e-11,-1.680937231230220,3.474400024366890,378
0.080,0.086035632809810,+0.006035632809810,7.012e-11,-1.685312825909884,3.469823656886910,378
0.081,0.087039697607513,+0.006039697607513,6.651e-11,-1.689654430368120,3.465285952148743,378
0.082,0.088042255890796,+0.006042255890796,7.446e-11,-1.693963035640563,3.460785852110571,378
0.083,0.089043316057637,+0.006043316057637,8.334e-11,-1.698239599598141,3.456322374311104,378
0.084,0.090042886371248,+0.006042886371248,9.314e-11,-1.702485048564982,3.451894526483986,378
0.085,0.091040974964029,+0.006040974964029,1.038e-10,-1.706700278839241,3.447501389570852,378
0.086,0.092037589841436,+0.006037589841436,1.155e-10,-1.710886158129185,3.443142046919464,378
0.087,0.093032738885786,+0.006032738885786,1.280e-10,-1.715043526905863,3.438815621935378,378
0.088,0.094026429859983,+0.006026429859984,1.414e-10,-1.719173199683512,3.434521268786047,420
0.089,0.095018670411206,+0.006018670411206,5.314e-11,-1.723275966226400,3.430258167762802,462
0.090,0.096009468074446,+0.006009468074446,5.232e-11,-1.727352592691339,3.426025523322624,462
0.091,0.096998830276154,+0.005998830276154,5.155e-11,-1.731403822709536,3.421822559657633,462
0.092,0.097986764337664,+0.005986764337664,5.083e-11,-1.735430378408430,3.417648540086486,462
0.093,0.098973277478650,+0.005973277478650,5.016e-11,-1.739432961384408,3.413502731274141,462
0.094,0.099958376820512,+0.005958376820512,4.951e-11,-1.743412253621070,3.409384437652571,462
0.095,0.100942069389722,+0.005942069389722,4.889e-11,-1.747368918362574,3.405292976344619,462
0.096,0.101924362121119,+0.005924362121119,4.829e-11,-1.751303600943665,3.401227682006368,462
0.097,0.102905261861182,+0.005905261861182,4.770e-11,-1.755216929575241,3.397187922624248,462
0.098,0.103884775371235,+0.005884775371235,4.713e-11,-1.759109516096709,3.393173069823664,462
0.099,0.104862909330645,+0.005862909330645,4.656e-11,-1.762981956686878,3.389182507229145,462
0.100,0.105839670339983,+0.005839670339983,4.600e-11,-1.766834832543110,3.385215655258683,462
0.101,0.106815064924143,+0.005815064924143,4.543e-11,-1.770668710529323,3.381271945615270,462
0.102,0.107789099535464,+0.005789099535464,4.487e-11,-1.774484143790180,3.377350806282478,462
0.103,0.108761780556792,+0.005761780556792,4.430e-11,-1.778281672343166,3.373451711001444,462
0.104,0.109733114304553,+0.005733114304553,4.373e-11,-1.782061823638390,3.369574114640047,462
0.105,0.110703107031803,+0.005703107031803,4.316e-11,-1.785825113095588,3.365717519773869,462
0.106,0.111671764931254,+0.005671764931254,4.261e-11,-1.789572044617981,3.361881408051386,462
0.107,0.112639094138295,+0.005639094138295,4.208e-11,-1.793303111084539,3.358065306626559,462
0.108,0.113605100734023,+0.005605100734023,4.156e-11,-1.797018794816208,3.354268720954636,462
0.109,0.114569790748221,+0.005569790748221,4.104e-11,-1.800719568032196,3.350491206375221,462
0.110,0.115533170162394,+0.005533170162394,4.052e-11,-1.804405893277947,3.346732294788910,462
0.111,0.116495244912758,+0.005495244912758,3.999e-11,-1.808078223840842,3.342991554024038,462
0.112,0.117456020893250,+0.005456020893250,3.943e-11,-1.811737004149654,3.339268542123456,462
0.113,0.118415503958566,+0.005415503958566,3.883e-11,-1.815382670152468,3.335562849397376,462
0.114,0.119373699927150,+0.005373699927150,3.819e-11,-1.819015649690691,3.331874053054596,462
0.115,0.120330614584250,+0.005330614584250,3.751e-11,-1.822636362848910,3.328201755961409,462
0.116,0.121286253684966,+0.005286253684966,3.680e-11,-1.826245222296419,3.324545565806703,462
0.117,0.122240622957309,+0.005240622957309,3.609e-11,-1.829842633616408,3.320905097521592,462
0.118,0.123193728105279,+0.005193728105279,3.550e-11,-1.833428995624429,3.317279972029887,462
0.119,0.124145574812001,+0.005145574812001,3.500e-11,-1.837004700668412,3.313669826300879,462
0.120,0.125096168742810,+0.005096168742810,3.454e-11,-1.840570134932956,3.310074296795231,462
0.121,0.126045515548434,+0.005045515548434,3.410e-11,-1.844125678719281,3.306493031799300,462
0.122,0.126993620868180,+0.004993620868180,3.364e-11,-1.847671706723810,3.302925687024444,462
0.123,0.127940490333134,+0.004940490333134,3.312e-11,-1.851208588307262,3.299371925444934,462
0.124,0.128886129569420,+0.004886129569420,3.250e-11,-1.854736687754300,3.295831418651521,462
0.125,0.129830544201508,+0.004830544201508,3.177e-11,-1.858256364522965,3.292303831415802,462
0.126,0.130773739855491,+0.004773739855491,3.092e-11,-1.861767973496459,3.288788856813535,462
0.127,0.131715722162491,+0.004715722162491,2.996e-11,-1.865271865216452,3.285286179305484,462
0.128,0.132656496762044,+0.004656496762044,2.896e-11,-1.868768386118715,3.281795493463540,462
0.129,0.133596069305586,+0.004596069305586,2.797e-11,-1.872257878754894,3.278316502573320,462
0.130,0.134534445459888,+0.004534445459888,2.724e-11,-1.875740682022871,3.274848903991212,462
0.131,0.135471630910689,+0.004471630910689,2.681e-11,-1.879217131370948,3.271392416536719,462
0.132,0.136407631366223,+0.004407631366223,2.649e-11,-1.882687559018944,3.267946753921675,462
0.133,0.137342452560915,+0.004342452560915,2.619e-11,-1.886152294159492,3.264511640458880,462
0.134,0.138276100259056,+0.004276100259056,2.584e-11,-1.889611663164117,3.261086795602352,462
0.135,0.139208580258604,+0.004208580258604,2.536e-11,-1.893065989777869,3.257671959300179,462
0.136,0.140139898394941,+0.004139898394941,2.468e-11,-1.896515595322233,3.254266858083851,462
0.137,0.141070060544817,+0.004070060544817,2.380e-11,-1.899960798879440,3.250871240940599,462
0.138,0.141999072630230,+0.003999072630230,2.270e-11,-1.903401917488039,3.247484848176576,462
0.139,0.142926940622438,+0.003926940622438,2.145e-11,-1.906839266328935,3.244107431937866,462
0.140,0.143853670546002,+0.003853670546002,2.011e-11,-1.910273158910641,3.240738737765704,462
0.141,0.144779268482927,+0.003779268482927,1.880e-11,-1.913703907249254,3.237378531054074,462
0.142,0.145703740576784,+0.003703740576784,1.770e-11,-1.917131822056119,3.234026565987216,462
0.143,0.146627093036994,+0.003627093036994,1.720e-11,-1.920557212911366,3.230682613677875,462
0.144,0.147549332143073,+0.003549332143073,1.691e-11,-1.923980388448516,3.227346437503734,462
0.145,0.148470464248995,+0.003470464248995,1.670e-11,-1.927401656530371,3.224017812078623,462
0.146,0.149390495787632,+0.003390495787632,2.058e-10,-1.930821324424544,3.220696508672751,420
0.147,0.150309433275116,+0.003309433275116,1.155e-10,-1.934239698986168,3.217382309864810,420
0.148,0.151227283315445,+0.003227283315445,2.090e-11,-1.937657086831862,3.214074994423437,420
0.149,0.152144052605012,+0.003144052605012,1.141e-10,-1.941073794516066,3.210774351257424,420
0.150,0.153059747937187,+0.003059747937187,2.238e-10,-1.944490128713103,3.207480163610477,420
0.151,0.153974376206961,+0.002974376206961,1.114e-11,-1.947906396394524,3.204192224939066,462
0.152,0.154887944415704,+0.002887944415704,9.716e-12,-1.951322905007644,3.200910330926401,462
0.153,0.155800459675766,+0.002800459675766,8.254e-12,-1.954739962660101,3.197634275732139,462
0.154,0.156711929215282,+0.002711929215282,6.881e-12,-1.958157878302313,3.194363858382654,462
0.155,0.157622360382942,+0.002622360382942,5.835e-12,-1.961576961910184,3.191098884733151,462
0.156,0.158531760652726,+0.002531760652726,5.257e-12,-1.964997524676173,3.187839157365171,420
0.157,0.159440137628441,+0.002440137628441,3.967e-12,-1.968419879198642,3.184584483568811,378
0.158,0.160347499049755,+0.002347499049755,4.297e-12,-1.971844339672736,3.181334676309701,420
0.159,0.161253852794417,+0.002253852794417,3.711e-12,-1.975271222089384,3.178089545952861,420
0.160,0.162159206885484,+0.002159206885484,2.982e-12,-1.978700844435679,3.174848907619548,420
0.161,0.163063569494652,+0.002063569494652,2.405e-12,-1.982133526895560,3.171612580959024,420
0.162,0.163966948947562,+0.001966948947562,2.912e-12,-1.985569592061726,3.168380385794013,420
0.163,0.164869353727557,+0.001869353727557,3.543e-12,-1.989009365149192,3.165152122193118,420
0.164,0.165770792480842,+0.001770792480842,4.174e-12,-1.992453174209335,3.161927679905555,420
0.165,0.166671274020510,+0.001671274020510,4.773e-12,-1.995901350358533,3.158706822098578,420
0.166,0.167570807330795,+0.001570807330795,5.404e-12,-1.999354228008150,3.155489400921801,420
0.167,0.168469401571183,+0.001469401571183,6.129e-12,-2.002812145097133,3.152275246531302,420
0.168,0.169367066080240,+0.001367066080240,7.056e-12,-2.006275443341165,3.149064195234006,420
0.169,0.170263810379342,+0.001263810379342,8.264e-12,-2.009744468479679,3.145856082021687,420
0.170,0.171159644176084,+0.001159644176084,9.529e-12,-2.013219570539780,3.142650754390350,420
0.171,0.172054577367501,+0.001054577367501,1.078e-11,-2.016701104101837,3.139448034269975,420
0.172,0.172948620042977,+0.000948620042977,1.198e-11,-2.020189428576453,3.136247776733153,420
0.173,0.173841782486769,+0.000841782486769,1.310e-11,-2.023684908497344,3.133049830479645,420
0.174,0.174734075180255,+0.000734075180255,1.415e-11,-2.027187913815871,3.129854082088215,462
0.175,0.175625508803735,+0.000625508803735,1.513e-11,-2.030698820212494,3.126660274437115,462
0.176,0.176516094237774,+0.000516094237774,1.605e-11,-2.034218009421020,3.123468325571587,462
0.177,0.177405842564082,+0.000405842564082,1.694e-11,-2.037745869564324,3.120278156482047,462
0.178,0.178294765065862,+0.000294765065862,1.784e-11,-2.041282795503936,3.117089542849914,462
0.179,0.179182873227547,+0.000182873227547,1.875e-11,-2.044829189207874,3.113902370921430,462
0.180,0.180070178733918,+0.000070178733918,1.969e-11,-2.048385460133153,3.110716499270993,462
0.181,0.180956693468590,-0.000043306531410,2.069e-11,-2.051952025621571,3.107531796104049,462
0.182,0.181842429511651,-0.000157570488349,2.180e-11,-2.055529311323429,3.104348139210351,462
0.183,0.182727399136598,-0.000272600863402,2.293e-11,-2.059117751633716,3.101165395893612,462
0.184,0.183611614806374,-0.000388385193626,2.407e-11,-2.062717790152912,3.097983446624844,462
0.185,0.184495089168503,-0.000504910831497,2.519e-11,-2.066329880171261,3.094802169663899,462
0.186,0.185377835049255,-0.000622164950745,2.629e-11,-2.069954485176311,3.091621451256457,462
0.187,0.186259865446765,-0.000740134553235,2.736e-11,-2.073592079389173,3.088441177962653,462
0.188,0.187141193523053,-0.000858806476947,2.842e-11,-2.077243148328763,3.085261243071332,462
0.189,0.188021832594925,-0.000978167405075,2.947e-11,-2.080908189404114,3.082081542270468,462
0.190,0.188901796123548,-0.001098203876452,3.051e-11,-2.084587712548979,3.078901977314291,462
0.191,0.189781097702908,-0.001218902297092,3.154e-11,-2.088282240877529,3.075722451080394,462
0.192,0.190659751046737,-0.001340248953263,3.258e-11,-2.091992311396012,3.072542882154989,462
0.193,0.191537769974207,-0.001462230025793,3.363e-11,-2.095718475741086,3.069363181024150,462
0.194,0.192415168394071,-0.001584831605929,3.468e-11,-2.099461300972637,3.066183269530221,462
0.195,0.193291960287334,-0.001708039712666,3.574e-11,-2.103221370411647,3.063003082812021,462
0.196,0.194168159688364,-0.001831840311636,3.681e-11,-2.106999284532828,3.059822550783356,462
0.197,0.195043780664435,-0.001956219335565,3.788e-11,-2.110795661911221,3.056641620482209,462
0.198,0.195918837293595,-0.002081162706405,3.894e-11,-2.114611140235219,3.053460239559497,462
0.199,0.196793343640915,-0.002206656359085,1.273e-10,-2.118446377384027,3.050278371912398,420
0.200,0.197667313733046,-0.002332686266954,5.169e-11,-2.122302052578652,3.047095984993299,420
