alpha,mc_estimate,mcse,ci95_lo,ci95_hi,deterministic_quadrature,estimate_minus_alpha
0.001,0.000985152951,0.000037604552,0.000906445720,0.001063860182,0.001028186670,-0.000014847049
0.002,0.002096535257,0.000037758398,0.002017506021,0.002175564493,0.002148483369,0.000096535257
0.003,0.003243213210,0.000039419446,0.003160707361,0.003325719059,0.003284406654,0.000243213210
0.004,0.004396997357,0.000039303134,0.004314734952,0.004479259761,0.004426647161,0.000396997357
0.005,0.005550803480,0.000037452849,0.005472413766,0.005629193194,0.005572437566,0.000550803480
0.006,0.006703393855,0.000034871274,0.006630407439,0.006776380271,0.006718655940,0.000703393855
0.007,0.007854679987,0.000032121555,0.007787448799,0.007921911176,0.007864930572,0.000854679987
0.008,0.009003653589,0.000029637001,0.008941622634,0.009065684545,0.009010016680,0.001003653589
0.009,0.010150821770,0.000027589404,0.010093076483,0.010208567056,0.010154285022,0.001150821770
0.010,0.011295017198,0.000025847988,0.011240916737,0.011349117659,0.011296737576,0.001295017198
0.011,0.012437100336,0.000024479427,0.012385864306,0.012488336365,0.012437645453,0.001437100336
0.012,0.013577626489,0.000023515383,0.013528408227,0.013626844751,0.013576423885,0.001577626489
0.013,0.014715162793,0.000022769443,0.014667505802,0.014762819784,0.014712562996,0.001715162793
0.014,0.015849114021,0.000022126293,0.015802803157,0.015895424886,0.015846915596,0.001849114021
0.015,0.016981794923,0.000021665637,0.016936448224,0.017027141621,0.016977887450,0.001981794923
0.016,0.018111879745,0.000021201924,0.018067503609,0.018156255881,0.018107889472,0.002111879745
0.017,0.019239074679,0.000020909568,0.019195310451,0.019282838907,0.019234021069,0.002239074679
0.018,0.020364745155,0.000020866607,0.020321070846,0.020408419465,0.020358889470,0.002364745155
0.019,0.021486452671,0.000020127525,0.021444325276,0.021528580066,0.021480974513,0.002486452671
0.020,0.022606311234,0.000020338555,0.022563742149,0.022648880319,0.022601616906,0.002606311234
0.021,0.023723194350,0.000020576483,0.023680127275,0.023766261424,0.023719280239,0.002723194350
0.022,0.024839839010,0.000020200526,0.024797558823,0.024882119197,0.024833879720,0.002839839010
0.023,0.025951876631,0.000020191234,0.025909615893,0.025994137368,0.025946833440,0.002951876631
0.024,0.027063955425,0.000020476124,0.027021098406,0.027106812445,0.027058097294,0.003063955425
0.025,0.028171214032,0.000020137522,0.028129065713,0.028213362351,0.028166152230,0.003171214032
0.026,0.029277690474,0.000020142705,0.029235531307,0.029319849641,0.029270977227,0.003277690474
0.027,0.030381080757,0.000020096711,0.030339017858,0.030423143656,0.030375480847,0.003381080757
0.028,0.031483249721,0.000020082389,0.031441216798,0.031525282644,0.031476712158,0.003483249721
0.029,0.032580729867,0.000020174406,0.032538504351,0.032622955383,0.032574686968,0.003580729867
0.030,0.033678839680,0.000020160282,0.033636643724,0.033721035636,0.033672244068,0.003678839680
0.031,0.034772604006,0.000020296633,0.034730122666,0.034815085346,0.034766536333,0.003772604006
0.032,0.035867679704,0.000020392191,0.035824998357,0.035910361052,0.035858967388,0.003867679704
0.033,0.036955031701,0.000020358981,0.036912419863,0.036997643539,0.036948193742,0.003955031701
0.034,0.038042907544,0.000020408615,0.038000191822,0.038085623267,0.038036868782,0.004042907544
0.035,0.039129394388,0.000020328867,0.039086845580,0.039171943197,0.039122366682,0.004129394388
0.036,0.040213037413,0.000020563674,0.040169997149,0.040256077677,0.040205994814,0.004213037413
0.037,0.041295603438,0.000020266986,0.041253184149,0.041338022727,0.041287738331,0.004295603438
0.038,0.042374990775,0.000020779412,0.042331498966,0.042418482585,0.042366449378,0.004374990775
0.039,0.043452264757,0.000020293410,0.043409790161,0.043494739352,0.043444420847,0.004452264757
0.040,0.044527758053,0.000020711836,0.044484407683,0.044571108423,0.044519424461,0.004527758053
0.041,0.045601755876,0.000020651866,0.045558531024,0.045644980729,0.045592582708,0.004601755876
0.042,0.046672721801,0.000021029956,0.046628705598,0.046716738004,0.046663885418,0.004672721801
0.043,0.047742491199,0.000020763572,0.047699032545,0.047785949854,0.047733322817,0.004742491199
0.044,0.048809883711,0.000020815536,0.048766316294,0.048853451128,0.048800885383,0.004809883711
0.045,0.049875237278,0.000020842229,0.049831613991,0.049918860566,0.049866564511,0.004875237278
0.046,0.050939277993,0.000020930792,0.050895469342,0.050983086644,0.050929635494,0.004939277993
0.047,0.052000569416,0.000020896245,0.051956833072,0.052044305759,0.051991576201,0.005000569416
0.048,0.053060316369,0.000020860436,0.053016654975,0.053103977763,0.053051013974,0.005060316369
0.049,0.054118560523,0.000020940731,0.054074731069,0.054162389978,0.054108659364,0.005118560523
0.050,0.055174323847,0.000020993010,0.055130384972,0.055218262723,0.055164970734,0.005174323847
0.051,0.056228350003,0.000021064269,0.056184261981,0.056272438026,0.056218942918,0.005228350003
0.052,0.057280463701,0.000020999896,0.057236510414,0.057324416987,0.057271109769,0.005280463701
0.053,0.058330588570,0.000020989703,0.058286656617,0.058374520523,0.058321197137,0.005330588570
0.054,0.059379621906,0.000021057596,0.059335547851,0.059423695961,0.059369794062,0.005379621906
0.055,0.060426371398,0.000021011556,0.060382393706,0.060470349090,0.060416567263,0.005426371398
0.056,0.061471350968,0.000021034154,0.061427325978,0.061515375959,0.061461481291,0.005471350968
0.057,0.062514485855,0.000021026554,0.062470476773,0.062558494938,0.062504661566,0.005514485855
0.058,0.063555923229,0.000021070161,0.063511822876,0.063600023582,0.063546132092,0.005555923229
0.059,0.064595647413,0.000021021618,0.064551648662,0.064639646165,0.064585706014,0.005595647413
0.060,0.065633541796,0.000021056570,0.065589469889,0.065677613703,0.065623718486,0.005633541796
0.061,0.066670486531,0.000021041788,0.066626445563,0.066714527499,0.066660042567,0.005670486531
0.062,0.067703657048,0.000021013794,0.067659674672,0.067747639424,0.067694220107,0.005703657048
0.063,0.068737094439,0.000021059739,0.068693015900,0.068781172979,0.068727068005,0.005737094439
0.064,0.069767796095,0.000020856636,0.069724142655,0.069811449535,0.069758220765,0.005767796095
0.065,0.070796936571,0.000021082434,0.070752810529,0.070841062612,0.070787675444,0.005796936571
0.066,0.071825181897,0.000021002324,0.071781223527,0.071869140266,0.071815430028,0.005825181897
0.067,0.072850454699,0.000021038839,0.072806419903,0.072894489495,0.072841483039,0.005850454699
0.068,0.073876549998,0.000020876891,0.073832854162,0.073920245833,0.073865833765,0.005876549998
0.069,0.074898701364,0.000020878878,0.074855001370,0.074942401357,0.074888484525,0.005898701364
0.070,0.075920309159,0.000020811309,0.075876750589,0.075963867728,0.075910574090,0.005920309159
0.071,0.076939288823,0.000020619100,0.076896132551,0.076982445095,0.076929893057,0.005939288823
0.072,0.077955319821,0.000020559731,0.077912287810,0.077998351832,0.077947507109,0.005955319821
0.073,0.078974725614,0.000020736506,0.078931323609,0.079018127620,0.078964853003,0.005974725614
0.074,0.079991701229,0.000021148156,0.079947437630,0.080035964829,0.079979134440,0.005991701229
0.075,0.081003039152,0.000020896939,0.080959301355,0.081046776949,0.080991717120,0.006003039152
0.076,0.082011665832,0.000020303308,0.081969170520,0.082054161145,0.082004299020,0.006011665832
0.077,0.083024478038,0.000020075615,0.082982459292,0.083066496783,0.083013550269,0.006024478038
0.078,0.084031032590,0.000020384060,0.083988368262,0.084073696917,0.084022997315,0.006031032590
0.079,0.085038203790,0.000020359502,0.084995590863,0.085080816717,0.085030942938,0.006038203790
0.080,0.086043805236,0.000020758551,0.086000357089,0.086087253383,0.086035231269,0.006043805236
0.081,0.087046748810,0.000021464437,0.087001823228,0.087091674393,0.087040039805,0.006046748810
0.082,0.088051087613,0.000020920683,0.088007300120,0.088094875106,0.088043340416,0.006051087613
0.083,0.089047396711,0.000020827576,0.089003804094,0.089090989328,0.089042679783,0.006047396711
0.084,0.090048419526,0.000020589917,0.090005324334,0.090091514718,0.090042844354,0.006048419526
0.085,0.091048065856,0.000020765991,0.091004602136,0.091091529576,0.091041502880,0.006048065856
0.086,0.092041188004,0.000020121951,0.091999072277,0.092083303731,0.092038654021,0.006041188004
0.087,0.093044154588,0.000020328717,0.093001606095,0.093086703082,0.093031445735,0.006044154588
0.088,0.094042125689,0.000021246385,0.093997656493,0.094086594884,0.094025462295,0.006042125689
0.089,0.095024471177,0.000020778405,0.094980981476,0.095067960878,0.095017980037,0.006024471177
0.090,0.096014763212,0.000021100458,0.095970599446,0.096058926979,0.096008995775,0.006014763212
0.091,0.097004947519,0.000019822228,0.096963459119,0.097046435919,0.096998509870,0.006004947519
0.092,0.097985534581,0.000020319206,0.097943005995,0.098028063167,0.097986523442,0.005985534581
0.093,0.098974087526,0.000019682292,0.098932892016,0.099015283035,0.098973037968,0.005974087526
0.094,0.099968259185,0.000019605394,0.099927224623,0.100009293747,0.099958055193,0.005968259185
0.095,0.100952545298,0.000020718749,0.100909180457,0.100995910138,0.100941577118,0.005952545298
0.096,0.101933211387,0.000019462843,0.101892475188,0.101973947586,0.101923606069,0.005933211387
0.097,0.102914148545,0.000019319246,0.102873712899,0.102954584192,0.102904144913,0.005914148545
0.098,0.103889520828,0.000020353160,0.103846921174,0.103932120482,0.103883197993,0.005889520828
0.099,0.104869275641,0.000019913100,0.104827597045,0.104910954237,0.104864921741,0.005869275641
0.100,0.105845471784,0.000019266131,0.105805147308,0.105885796260,0.105841102702,0.005845471784
